local;type;surface;nb_piece;prix
Carthage;Appartement;200;3;"5 000 TND
					"
Ennasr;Appartement;70;3;"1 050 TND
					"
Marsa;Appartement;130;3;"2 500 TND
					"
Kram;Appartement;100;1;"1 500 TND
					"
Hammamet;Appartement;3;3;"700 TND
					"
Marsa;Appartement;3;3;"5 500 TND
					"
Marsa;Appartement;180;3;"3 500 TND
					"
Marsa;Appartement;3;3;"1 700 TND
					"
Ville;Appartement;160;3;"1 700 TND
					"
Marsa;Appartement;3;3;"3 500 TND
					"
Soukra;Appartement;160;3;"1 500 TND
					"
Marsa;Appartement;150;3;"2 000 TND
					"
Marsa;Appartement;90;2;"2 100 TND
					"
1;Appartement;62;1;"1 050 TND
					"
Hammamet;Appartement;50;1;"450 TND
					"
Marsa;Appartement;100;4;"4 500 TND
					"
Nabeul;Appartement;110;2;"800 TND
					"
Ville;Appartement;195;3;"1 700 TND
					"
Marsa;Appartement;100;2;"1 500 TND
					"
Marsa;Appartement;60;1;"1 200 TND
					"
Hammamet;Appartement;2;2;"800 TND
					"
Menzah;Appartement;140;2;"1 400 TND
					"
Marsa;Appartement;3;3;"2 500 TND
					"
Nord;Appartement;200;3;"650 TND
					"
Soukra;Appartement;200;4;"4 300 TND
					"
Kram;Appartement;94;2;"650 TND
					"
Marsa;Appartement;120;2;"1 400 TND
					"
Kram;Appartement;190;3;"1 800 TND
					"
Akouda;Appartement;100;2;"630 TND
					"
Marsa;Appartement;120;2;"1 800 TND
					"
Ville;Appartement;70;2;"
	    					Prix à consulter
	    				
					"
Carthage;Appartement;200;3;"1 350 TND
					"
Marsa;Appartement;80;3;"4 500 TND
					"
