local;type;surface;nb_piece;prix
Marsa;Appartement;190;3;"2 500 TND
					"
Marsa;Appartement;160;2;"3 000 TND
					"
Marsa;Appartement;120;2;"3 500 TND
					"
Marsa;Appartement;2;2;"1 900 TND
					"
Marsa;Appartement;150;150;"1 400 TND
					"
Sousse;Appartement;100;2;"1 000 TND
					"
Marsa;Appartement;130;2;"3 300 TND
					"
Marsa;Appartement;50;1;"1 200 TND
					"
Marsa;Appartement;125;2;"2 500 TND
					"
Marsa;Appartement;133;2;"1 800 TND
					"
Ville;Appartement;3;3;"700 TND
					"
Kram;Appartement;80;1;"850 TND
					"
Sousse;Appartement;140;3;"1 500 TND
					"
Soukra;Appartement;130;2;"1 350 TND
					"
Marsa;Appartement;655;7;"5 000 TND
					"
Corniche;Appartement;110;2;"1 200 TND
					"
Marsa;Appartement;80;1;"1 600 TND
					"
Kram;Appartement;70;2;"960 TND
					"
Marsa;Appartement;121;2;"1 800 TND
					"
Kram;Appartement;230;4;"3 000 TND
					"
Marsa;Appartement;133;4;"1 500 TND
					"
Sousse;Appartement;200;3;"850 TND
					"
Hammamet;Appartement;200;2;"4 500 TND
					"
Ville;Appartement;190;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;3;3;"3 900 TND
					"
Sousse;Appartement;177;3;"1 000 TND
					"
Marsa;Appartement;150;2;"3 000 TND
					"
Marsa;Appartement;120;2;"1 500 TND
					"
Marsa;Appartement;250;3;"2 500 TND
					"
Ville;Appartement;185;3;"2 000 TND
					"
Soukra;Appartement;68;1;"1 500 TND
					"
Marsa;Appartement;1;1;"1 700 TND
					"
Djerba;Appartement;2;2;"650 TND
					"
