local;type;surface;nb_piece;prix
Hammamet;Appartement;80;1;"1 100 TND
					"
Ville;Appartement;87;3;"700 TND
					"
Soukra;Appartement;152;3;"1 350 TND
					"
Sousse;Appartement;270;4;"1 800 TND
					"
Marsa;Appartement;2;2;"3 000 TND
					"
Kram;Appartement;100;2;"1 150 TND
					"
Marsa;Appartement;150;3;"2 500 TND
					"
Ville;Appartement;60;1;"1 050 TND
					"
Marsa;Appartement;130;2;"2 000 TND
					"
Ville;Appartement;130;3;"1 700 TND
					"
Marsa;Appartement;116;2;"950 TND
					"
Marsa;Appartement;180;3;"3 800 TND
					"
Marsa;Appartement;140;3;"3 500 TND
					"
Sousse;Appartement;2;2;"750 TND
					"
Akouda;Appartement;140;3;"1 800 TND
					"
Carthage;Appartement;130;3;"1 500 TND
					"
Marsa;Appartement;100;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;70;1;"1 900 TND
					"
Marsa;Appartement;140;2;"2 500 TND
					"
Marsa;Appartement;144;2;"1 200 TND
					"
Marsa;Appartement;155;3;"3 000 TND
					"
Marsa;Appartement;160;3;"2 800 TND
					"
Marsa;Appartement;130;2;"3 200 TND
					"
Marsa;Appartement;1;1;"
	    					Prix à consulter
	    				
					"
Kram;Appartement;210;2;"1 600 TND
					"
Marsa;Appartement;110;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;110;2;"900 TND
					"
Marsa;Appartement;190;3;"3 000 TND
					"
Ville;Appartement;75;2;"
	    					Prix à consulter
	    				
					"
Ville;Appartement;65;2;"450 TND
					"
Marsa;Appartement;70;1;"2 500 TND
					"
Marsa;Appartement;150;3;"3 000 TND
					"
Marsa;Appartement;125;2;"2 500 TND
					"
