local;type;surface;nb_piece;prix
Kram;Appartement;120;120;"1 200 TND
					"
Marsa;Appartement;160;3;"1 500 TND
					"
Kram;Appartement;160;2;"2 250 TND
					"
Marsa;Appartement;70;1;"1 600 TND
					"
Kram;Appartement;70;1;"1 700 TND
					"
Mnihla;Appartement;55;1;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;120;2;"3 500 TND
					"
Kram;Appartement;140;3;"1 500 TND
					"
Djerba;Appartement;80;1;"450 TND
					"
Marsa;Appartement;168;4;"2 400 TND
					"
Ville;Appartement;140;2;"2 000 TND
					"
Ville;Appartement;150;3;"1 600 TND
					"
Marsa;Appartement;125;2;"2 500 TND
					"
Tantana;Appartement;100;2;"650 TND
					"
Sousse;Appartement;80;2;"1 100 TND
					"
Kram;Appartement;70;1;"1 050 TND
					"
Soukra;Appartement;3;3;"1 500 TND
					"
Soukra;Appartement;130;3;"1 100 TND
					"
Carthage;Appartement;80;1;"1 500 TND
					"
Ville;Appartement;110;2;"1 200 TND
					"
Nabeul;Appartement;65;1;"750 TND
					"
Hammamet;Appartement;65;2;"650 TND
					"
Kram;Appartement;210;3;"2 000 TND
					"
Ville;Appartement;200;3;"950 TND
					"
Sousse;Appartement;100;3;"1 600 TND
					"
Nabeul;Appartement;50;1;"400 TND
					"
Soukra;Appartement;85;1;"900 TND
					"
Marsa;Appartement;250;3;"3 500 TND
					"
Soukra;Appartement;120;2;"1 100 TND
					"
Marsa;Appartement;84;2;"2 500 TND
					"
Kram;Appartement;180;3;"1 800 TND
					"
Marsa;Appartement;100;1;"1 030 TND
					"
Kram;Appartement;265;3;"3 500 TND
					"
