local;type;surface;nb_piece;prix
Menzah;Appartement;120;3;"1 350 TND
					"
Marsa;Appartement;180;3;"2 500 TND
					"
Marsa;Appartement;180;3;"4 800 TND
					"
Marsa;Appartement;157;3;"3 000 TND
					"
Marsa;Appartement;75;1;"750 TND
					"
Ville;Appartement;70;1;"1 200 TND
					"
Kram;Appartement;135;3;"1 900 TND
					"
Soukra;Appartement;200;3;"1 500 TND
					"
Marsa;Appartement;160;3;"3 500 TND
					"
Marsa;Appartement;120;1;"3 000 TND
					"
Marsa;Appartement;120;2;"1 400 TND
					"
Kram;Appartement;200;4;"1 900 TND
					"
Soukra;Appartement;150;4;"1 200 TND
					"
Sousse;Appartement;100;2;"1 500 TND
					"
Marsa;Appartement;100;2;"2 800 TND
					"
Marsa;Appartement;85;1;"2 000 TND
					"
Aouina;Appartement;60;1;"900 TND
					"
Kram;Appartement;90;2;"1 300 TND
					"
Marsa;Appartement;3;3;"1 700 TND
					"
Marsa;Appartement;272;3;"8 000 TND
					"
Marsa;Appartement;130;2;"1 700 TND
					"
Kram;Appartement;75;1;"1 250 TND
					"
Ville;Appartement;100;2;"850 TND
					"
Ville;Appartement;140;2;"2 000 TND
					"
Marsa;Appartement;117;3;"2 400 TND
					"
Bassatine;Appartement;2;2;"850 TND
					"
Kram;Appartement;220;3;"2 700 TND
					"
Medina;Appartement;150;4;"1 000 TND
					"
1;Appartement;100;2;"1 050 TND
					"
Ville;Appartement;128;2;"
	    					Prix à consulter
	    				
					"
Sousse;Appartement;190;3;"1 700 TND
					"
Carthage;Appartement;200;3;"2 800 TND
					"
Marsa;Appartement;4;4;"7 500 TND
					"
