local;type;surface;nb_piece;prix
Marsa;Appartement;220;4;"2 000 TND
					"
Maamoura;Appartement;130;2;"760 TND
					"
Kram;Appartement;1;1;"1 200 TND
					"
Marsa;Appartement;250;4;"3 500 TND
					"
Nabeul;Appartement;85;1;"700 TND
					"
Marsa;Appartement;3;3;"5 000 TND
					"
Marsa;Appartement;150;2;"2 700 TND
					"
Ville;Appartement;70;1;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;158;3;"1 300 TND
					"
Marsa;Appartement;100;3;"1 600 TND
					"
Corniche;Appartement;140;3;"1 000 TND
					"
Carthage;Appartement;130;2;"2 000 TND
					"
Marsa;Appartement;200;3;"3 000 TND
					"
Marsa;Appartement;150;3;"3 700 TND
					"
Ville;Appartement;120;3;"1 800 TND
					"
Marsa;Appartement;200;3;"4 400 TND
					"
Marsa;Appartement;170;3;"2 850 TND
					"
Sousse;Appartement;100;2;"1 100 TND
					"
Marsa;Appartement;170;4;"2 500 TND
					"
Marsa;Appartement;4;4;"3 200 TND
					"
Marsa;Appartement;60;1;"1 200 TND
					"
Rades;Appartement;120;3;"900 TND
					"
Marsa;Appartement;70;1;"1 200 TND
					"
Marsa;Appartement;80;2;"1 600 TND
					"
Marsa;Appartement;3;3;"4 800 TND
					"
Jaouhara;Appartement;60;1;"450 TND
					"
Marsa;Appartement;150;2;"2 150 TND
					"
Marsa;Appartement;160;3;"2 200 TND
					"
Kram;Appartement;1;1;"1 600 TND
					"
Carthage;Appartement;150;2;"1 200 TND
					"
Marsa;Appartement;2;2;"3 000 TND
					"
Hammamet;Appartement;2;2;"
	    					Prix à consulter
	    				
					"
Kram;Appartement;200;3;"2 000 TND
					"
