local;type;surface;nb_piece;prix
Sousse;Appartement;100;2;"700 TND
					"
Soukra;Appartement;2;2;"1 600 TND
					"
Marsa;Appartement;160;2;"1 600 TND
					"
Kram;Appartement;240;4;"3 000 TND
					"
Marsa;Appartement;250;3;"3 500 TND
					"
Mourouj;Appartement;100;3;"650 TND
					"
Marsa;Appartement;90;2;"3 500 TND
					"
Ville;Appartement;110;3;"1 150 TND
					"
Ville;Appartement;129;2;"1 300 TND
					"
Hammamet;Appartement;200;3;"1 751 TND
					"
Marsa;Appartement;290;4;"3 300 TND
					"
Hammamet;Appartement;2;2;"900 TND
					"
Hammamet;Appartement;90;2;"
	    					Prix à consulter
	    				
					"
Khadra;Appartement;230;5;"2 800 TND
					"
Corniche;Appartement;1;1;"1 000 TND
					"
Marsa;Appartement;2;2;"1 200 TND
					"
Nabeul;Appartement;60;1;"800 TND
					"
Sousse;Appartement;60;1;"650 TND
					"
Hammamet;Appartement;155;3;"1 200 TND
					"
Marsa;Appartement;120;2;"1 800 TND
					"
Marsa;Appartement;70;1;"1 000 TND
					"
Sahloul;Appartement;140;3;"900 TND
					"
Sousse;Appartement;110;2;"1 200 TND
					"
Ville;Appartement;190;4;"1 900 TND
					"
Marsa;Appartement;140;3;"7 000 TND
					"
Soukra;Appartement;124;2;"1 400 TND
					"
Sahloul;Appartement;120;3;"850 TND
					"
Marsa;Appartement;2;2;"1 300 TND
					"
Marsa;Appartement;3;3;"2 300 TND
					"
Kram;Appartement;1;1;"1 100 TND
					"
Hammamet;Appartement;2;2;"1 050 TND
					"
Kram;Appartement;1;1;"1 500 TND
					"
Ville;Appartement;65;65;"800 TND
					"
