local;type;surface;nb_piece;prix
Akouda;Appartement;60;2;"800 TND
					"
Sousse;Appartement;100;3;"900 TND
					"
Menzah;Appartement;112;2;"1 500 TND
					"
Jaouhara;Appartement;200;4;"1 200 TND
					"
Marsa;Appartement;240;3;"3 500 TND
					"
Sahloul;Appartement;120;2;"900 TND
					"
Ville;Appartement;90;1;"1 000 TND
					"
Marsa;Appartement;240;4;"2 800 TND
					"
Ouest;Appartement;120;3;"800 TND
					"
Marsa;Appartement;75;2;"3 000 TND
					"
Kram;Appartement;80;1;"1 200 TND
					"
Ezzahra;Appartement;3;3;"780 TND
					"
Hammamet;Appartement;2;2;"900 TND
					"
Marsa;Appartement;2;2;"2 500 TND
					"
Soukra;Appartement;60;1;"1 000 TND
					"
Marsa;Appartement;3;3;"2 500 TND
					"
Marsa;Appartement;70;1;"2 500 TND
					"
Ouest;Appartement;105;2;"
	    					Prix à consulter
	    				
					"
Kram;Appartement;190;3;"1 800 TND
					"
Marsa;Appartement;140;4;"900 TND
					"
Akouda;Appartement;146;2;"1 200 TND
					"
Marsa;Appartement;200;3;"3 500 TND
					"
Marsa;Appartement;230;3;"4 500 TND
					"
Hammamet;Appartement;2;2;"850 TND
					"
Marsa;Appartement;3;3;"4 000 TND
					"
Marsa;Appartement;105;2;"1 500 TND
					"
Marsa;Appartement;3;3;"3 500 TND
					"
Kram;Appartement;3;3;"1 000 TND
					"
Marsa;Appartement;300;3;"5 500 TND
					"
Marsa;Appartement;80;1;"2 100 TND
					"
Marsa;Appartement;1;1;"850 TND
					"
Marsa;Appartement;130;2;"2 800 TND
					"
Marsa;Appartement;200;4;"2 500 TND
					"
