local;type;surface;nb_piece;prix
Marsa;Appartement;200;3;"2 800 TND
					"
Marsa;Appartement;290;3;"2 800 TND
					"
Marsa;Appartement;195;3;"3 500 TND
					"
Marsa;Appartement;550;5;"7 800 TND
					"
Marsa;Appartement;120;3;"4 200 TND
					"
Marsa;Appartement;70;1;"1 900 TND
					"
Marsa;Appartement;100;2;"2 400 TND
					"
Carthage;Appartement;120;4;"3 000 TND
					"
Marsa;Appartement;2;2;"1 600 TND
					"
Marsa;Appartement;110;2;"2 000 TND
					"
Ville;Appartement;220;3;"1 250 TND
					"
Marsa;Appartement;70;1;"1 900 TND
					"
Marsa;Appartement;3;3;"5 000 TND
					"
Marsa;Appartement;150;2;"3 200 TND
					"
Ville;Appartement;100;2;"850 TND
					"
Ville;Appartement;190;2;"850 TND
					"
Sousse;Appartement;78;1;"1 100 TND
					"
Marsa;Appartement;272;3;"8 000 TND
					"
Sousse;Appartement;200;3;"1 600 TND
					"
Marsa;Appartement;260;4;"3 600 TND
					"
Marsa;Appartement;120;2;"2 700 TND
					"
Jaouhara;Appartement;140;3;"1 200 TND
					"
Mourouj;Appartement;75;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;60;1;"1 650 TND
					"
Marsa;Appartement;115;2;"1 000 TND
					"
Tantana;Appartement;100;2;"1 450 TND
					"
Marsa;Appartement;140;2;"2 900 TND
					"
Marsa;Appartement;110;2;"2 200 TND
					"
Marsa;Appartement;130;3;"1 200 TND
					"
Midoun;Appartement;2;2;"550 TND
					"
Marsa;Appartement;165;3;"2 500 TND
					"
Marsa;Appartement;100;2;"2 500 TND
					"
Marsa;Appartement;232;3;"
	    					Prix à consulter
	    				
					"
