local;type;surface;nb_piece;prix
Ville;Appartement;125;2;"1 400 TND
					"
Marsa;Appartement;3;3;"1 800 TND
					"
Jaouhara;Appartement;140;3;"1 200 TND
					"
Corniche;Appartement;220;3;"1 250 TND
					"
Marsa;Appartement;400;4;"5 000 TND
					"
Marsa;Appartement;145;2;"2 100 TND
					"
Marsa;Appartement;100;4;"2 000 TND
					"
Soukra;Appartement;164;3;"1 500 TND
					"
Marsa;Appartement;100;1;"2 400 TND
					"
Marsa;Appartement;90;1;"1 370 TND
					"
Sahloul;Appartement;100;2;"650 TND
					"
Ville;Appartement;170;3;"1 450 TND
					"
Marsa;Appartement;80;1;"2 000 TND
					"
Kram;Appartement;72;1;"2 000 TND
					"
Kram;Appartement;160;2;"2 700 TND
					"
Marsa;Appartement;230;3;"3 000 TND
					"
Sousse;Appartement;150;2;"600 TND
					"
Akouda;Appartement;146;2;"1 200 TND
					"
Marsa;Appartement;130;3;"800 TND
					"
Jaouhara;Appartement;200;4;"1 200 TND
					"
Marsa;Appartement;100;2;"1 500 TND
					"
Marsa;Appartement;130;3;"1 600 TND
					"
Marsa;Appartement;300;5;"3 200 TND
					"
Hammamet;Appartement;120;3;"1 800 TND
					"
Marsa;Appartement;120;2;"4 500 TND
					"
Hammamet;Appartement;2;2;"700 TND
					"
Marsa;Appartement;200;3;"3 500 TND
					"
Marsa;Appartement;470;4;"1 500 TND
					"
Sahloul;Appartement;110;3;"900 TND
					"
Marsa;Appartement;1;1;"1 160 TND
					"
Sousse;Appartement;1;1;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;130;3;"4 000 TND
					"
Marsa;Appartement;145;3;"1 350 TND
					"
