local;type;surface;nb_piece;prix
Menzah;Appartement;68;1;"1 000 TND
					"
Carthage;Appartement;350;4;"4 000 TND
					"
Djerba;Appartement;85;1;"900 TND
					"
Nabeul;Appartement;2;2;"400 TND
					"
Marsa;Appartement;100;2;"1 200 TND
					"
Kram;Appartement;3;3;"2 320 TND
					"
Ville;Appartement;3;3;"2 000 TND
					"
Marsa;Appartement;125;2;"1 550 TND
					"
Kram;Appartement;85;1;"1 600 TND
					"
Marsa;Appartement;135;3;"2 200 TND
					"
Marsa;Appartement;123;2;"2 000 TND
					"
Ville;Appartement;60;60;"600 TND
					"
Marsa;Appartement;320;3;"2 500 TND
					"
Akouda;Appartement;100;2;"630 TND
					"
Kram;Appartement;72;1;"2 000 TND
					"
Hammamet;Appartement;100;2;"1 301 TND
					"
Djerba;Appartement;111;2;"
	    					Prix à consulter
	    				
					"
Sousse;Appartement;100;3;"1 200 TND
					"
Hammamet;Appartement;125;2;"750 TND
					"
Khadra;Appartement;70;1;"850 TND
					"
Marsa;Appartement;160;2;"3 000 TND
					"
Hammamet;Appartement;150;3;"1 000 TND
					"
Soukra;Appartement;124;2;"1 700 TND
					"
Nabeul;Appartement;150;3;"951 TND
					"
Kram;Appartement;157;3;"1 900 TND
					"
Ville;Appartement;1;1;"800 TND
					"
Marsa;Appartement;160;2;"1 450 TND
					"
Kram;Appartement;3;3;"3 000 TND
					"
Khezama;Appartement;100;2;"1 200 TND
					"
Marsa;Appartement;150;2;"3 000 TND
					"
Ville;Appartement;112;1;"1 100 TND
					"
Carthage;Appartement;90;2;"1 300 TND
					"
Menzah;Appartement;80;1;"1 100 TND
					"
