local;type;surface;nb_piece;prix
Ville;Appartement;70;1;"750 TND
					"
Ville;Appartement;2;2;"600 TND
					"
Soukra;Appartement;180;3;"2 000 TND
					"
Khezama;Appartement;90;2;"1 000 TND
					"
Marsa;Appartement;200;3;"4 500 TND
					"
Carthage;Appartement;3;3;"1 500 TND
					"
Sousse;Appartement;80;1;"900 TND
					"
Hammamet;Appartement;140;2;"2 501 TND
					"
Marsa;Appartement;60;1;"750 TND
					"
Kram;Appartement;130;2;"1 300 TND
					"
Marsa;Appartement;150;5;"6 000 TND
					"
Marsa;Appartement;160;3;"2 800 TND
					"
Bassatine;Appartement;120;2;"650 TND
					"
Marsa;Appartement;2;2;"1 800 TND
					"
Kram;Appartement;3;3;"2 400 TND
					"
Marsa;Appartement;178;3;"4 000 TND
					"
Rades;Appartement;130;2;"750 TND
					"
Carthage;Appartement;120;3;"1 050 TND
					"
Marsa;Appartement;120;2;"1 250 TND
					"
Marsa;Appartement;110;2;"2 200 TND
					"
Khezama;Appartement;70;1;"650 TND
					"
Marsa;Appartement;98;2;"2 300 TND
					"
Marsa;Appartement;3;3;"4 800 TND
					"
Kram;Appartement;200;3;"1 800 TND
					"
Marsa;Appartement;4;4;"6 000 TND
					"
Djerba;Appartement;85;1;"900 TND
					"
Marsa;Appartement;173;2;"5 000 TND
					"
Marsa;Appartement;125;3;"3 700 TND
					"
Marsa;Appartement;150;2;"3 000 TND
					"
Marsa;Appartement;120;2;"1 500 TND
					"
Hammamet;Appartement;200;3;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;90;2;"2 500 TND
					"
Ville;Appartement;100;2;"890 TND
					"
