local;type;surface;nb_piece;prix
Nord;Appartement;130;3;"2 000 TND
					"
Corniche;Appartement;140;3;"1 000 TND
					"
Ville;Appartement;100;2;"1 000 TND
					"
Marsa;Appartement;195;4;"2 300 TND
					"
Marsa;Appartement;3;3;"3 500 TND
					"
Rades;Appartement;90;2;"500 TND
					"
Bassatine;Appartement;150;2;"800 TND
					"
Marsa;Appartement;150;3;"1 300 TND
					"
Nabeul;Appartement;250;4;"1 600 TND
					"
Marsa;Appartement;172;4;"2 000 TND
					"
Marsa;Appartement;250;3;"2 500 TND
					"
Marsa;Appartement;150;3;"3 500 TND
					"
Ville;Appartement;200;3;"1 300 TND
					"
Kram;Appartement;70;1;"1 700 TND
					"
Marsa;Appartement;2;2;"2 800 TND
					"
Marsa;Appartement;200;3;"2 800 TND
					"
Marsa;Appartement;180;4;"2 200 TND
					"
Kram;Appartement;1;1;"1 500 TND
					"
Hammamet;Appartement;330;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;200;3;"3 000 TND
					"
Kram;Appartement;190;3;"1 800 TND
					"
1;Appartement;50;1;"750 TND
					"
Marsa;Appartement;110;2;"1 200 TND
					"
Carthage;Appartement;200;3;"2 300 TND
					"
Marsa;Appartement;200;3;"2 500 TND
					"
Marsa;Appartement;4;4;"3 000 TND
					"
Marsa;Appartement;120;2;"1 265 TND
					"
Hammamet;Appartement;75;1;"900 TND
					"
Marsa;Appartement;150;3;"3 000 TND
					"
Carthage;Appartement;120;4;"5 500 TND
					"
Kram;Appartement;83;1;"1 200 TND
					"
Chatt;Appartement;100;2;"550 TND
					"
Marsa;Appartement;85;1;"1 600 TND
					"
