local;type;surface;nb_piece;prix
Marsa;Appartement;220;4;"2 000 TND
					"
Soukra;Appartement;180;3;"1 800 TND
					"
Marsa;Appartement;180;4;"2 300 TND
					"
Marsa;Appartement;100;3;"2 200 TND
					"
Hammamet;Appartement;120;2;"550 TND
					"
Marsa;Appartement;180;3;"3 500 TND
					"
Marsa;Appartement;170;2;"2 400 TND
					"
Sousse;Appartement;100;1;"
	    					Prix à consulter
	    				
					"
Akouda;Appartement;120;2;"1 200 TND
					"
Marsa;Appartement;59;1;"2 500 TND
					"
Marsa;Appartement;60;2;"1 300 TND
					"
Marsa;Appartement;150;3;"3 000 TND
					"
Marsa;Appartement;3;3;"4 500 TND
					"
Marsa;Appartement;80;1;"1 800 TND
					"
Kram;Appartement;80;1;"1 200 TND
					"
Sousse;Appartement;80;2;"550 TND
					"
Marsa;Appartement;178;3;"2 500 TND
					"
Marsa;Appartement;70;1;"1 000 TND
					"
Kram;Appartement;50;1;"850 TND
					"
Marsa;Appartement;50;1;"850 TND
					"
Marsa;Appartement;220;5;"3 500 TND
					"
Marsa;Appartement;200;4;"4 000 TND
					"
Khezama;Appartement;135;3;"1 650 TND
					"
Jebel;Appartement;90;3;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;220;3;"4 000 TND
					"
Corniche;Appartement;220;3;"1 250 TND
					"
Khezama;Appartement;70;1;"650 TND
					"
Kram;Appartement;128;2;"1 200 TND
					"
Ville;Appartement;3;3;"1 400 TND
					"
Ouest;Appartement;130;3;"1 500 TND
					"
Rades;Appartement;100;3;"600 TND
					"
Hammamet;Appartement;1;1;"650 TND
					"
Marsa;Appartement;200;3;"3 100 TND
					"
