local;type;surface;nb_piece;prix
Akouda;Appartement;2;2;"1 500 TND
					"
Marsa;Appartement;2;2;"1 800 TND
					"
Ville;Appartement;75;1;"1 000 TND
					"
Menzah;Appartement;112;2;"1 500 TND
					"
Marsa;Appartement;230;4;"2 200 TND
					"
Sousse;Appartement;100;2;"1 300 TND
					"
Sousse;Appartement;100;2;"900 TND
					"
Marsa;Appartement;2;2;"1 600 TND
					"
Carthage;Appartement;2;2;"5 500 TND
					"
Soukra;Appartement;140;3;"1 450 TND
					"
Hammamet;Appartement;70;1;"500 TND
					"
Hammamet;Appartement;120;3;"2 901 TND
					"
Marsa;Appartement;250;3;"8 200 TND
					"
Ville;Appartement;60;1;"850 TND
					"
Kram;Appartement;150;2;"2 600 TND
					"
Ville;Appartement;70;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;110;2;"1 200 TND
					"
Rades;Appartement;100;3;"600 TND
					"
Marsa;Appartement;120;2;"3 500 TND
					"
Kram;Appartement;180;4;"3 000 TND
					"
Hammamet;Appartement;90;1;"1 700 TND
					"
Marsa;Appartement;2;2;"2 700 TND
					"
Marsa;Appartement;90;1;"1 600 TND
					"
Kram;Appartement;224;3;"2 700 TND
					"
Sousse;Appartement;90;1;"700 TND
					"
Akouda;Appartement;150;2;"1 000 TND
					"
Marsa;Appartement;100;2;"2 800 TND
					"
Kram;Appartement;180;3;"1 800 TND
					"
Marsa;Appartement;140;3;"1 200 TND
					"
Marsa;Appartement;180;3;"1 700 TND
					"
Marsa;Appartement;120;2;"1 400 TND
					"
Tunis;Appartement;70;2;"900 TND
					"
Hammamet;Appartement;100;2;"2 000 TND
					"
