local;type;surface;nb_piece;prix
Marsa;Appartement;120;2;"1 600 TND
					"
Sousse;Appartement;90;2;"1 200 TND
					"
Marsa;Appartement;120;3;"2 500 TND
					"
Soukra;Appartement;1;1;"1 600 TND
					"
Marsa;Appartement;180;3;"3 500 TND
					"
Kram;Appartement;95;1;"1 200 TND
					"
Sousse;Appartement;62;1;"1 050 TND
					"
Marsa;Appartement;180;3;"2 400 TND
					"
Sousse;Appartement;100;2;"1 000 TND
					"
Jaouhara;Appartement;100;3;"750 TND
					"
Marsa;Appartement;220;4;"6 000 TND
					"
Marsa;Appartement;150;3;"2 200 TND
					"
Marsa;Appartement;160;3;"2 500 TND
					"
Marsa;Appartement;180;2;"2 800 TND
					"
Kram;Appartement;147;2;"2 500 TND
					"
Marsa;Appartement;160;3;"2 000 TND
					"
Marsa;Appartement;173;2;"5 000 TND
					"
Marsa;Appartement;90;2;"2 500 TND
					"
Marsa;Appartement;60;1;"1 600 TND
					"
Carthage;Appartement;75;1;"750 TND
					"
Marsa;Appartement;160;3;"1 400 TND
					"
Bizerte;Appartement;500;8;"6 000 TND
					"
Marsa;Appartement;135;3;"1 800 TND
					"
Hammamet;Appartement;100;2;"1 000 TND
					"
Rades;Appartement;160;2;"700 TND
					"
Carthage;Appartement;2;2;"1 500 TND
					"
Nabeul;Appartement;65;1;"1 301 TND
					"
Kram;Appartement;176;3;"450 000 TND
					"
Marsa;Appartement;110;2;"3 000 TND
					"
Marsa;Appartement;3;3;"2 500 TND
					"
Sahloul;Appartement;1;1;"1 000 TND
					"
Marsa;Appartement;200;3;"2 800 TND
					"
Sousse;Appartement;70;1;"
	    					Prix à consulter
	    				
					"
