local;type;surface;nb_piece;prix
Sousse;Appartement;120;2;"1 200 TND
					"
Marsa;Appartement;180;3;"3 800 TND
					"
Marsa;Appartement;146;2;"2 000 TND
					"
Marsa;Appartement;60;1;"2 000 TND
					"
Marsa;Appartement;80;2;"2 400 TND
					"
Kram;Appartement;230;4;"3 400 TND
					"
Marsa;Appartement;150;3;"2 500 TND
					"
Akouda;Appartement;400;5;"1 200 TND
					"
Hammamet;Appartement;2;2;"1 000 TND
					"
Mourouj;Appartement;115;3;"850 TND
					"
Marsa;Appartement;100;2;"2 000 TND
					"
Marsa;Appartement;90;2;"1 200 TND
					"
Jaouhara;Appartement;400;2;"1 100 TND
					"
Marsa;Appartement;110;2;"
	    					Prix à consulter
	    				
					"
Akouda;Appartement;56;1;"600 TND
					"
Ville;Appartement;240;3;"1 350 TND
					"
Sousse;Appartement;123;2;"1 300 TND
					"
Marsa;Appartement;175;3;"2 500 TND
					"
Marsa;Appartement;90;2;"2 500 TND
					"
Marsa;Appartement;160;3;"1 500 TND
					"
Mégrine;Appartement;120;2;"650 TND
					"
Marsa;Appartement;100;2;"1 500 TND
					"
Carthage;Appartement;100;3;"1 200 TND
					"
Marsa;Appartement;110;2;"900 TND
					"
Marsa;Appartement;90;1;"1 600 TND
					"
Marsa;Appartement;125;2;"1 500 TND
					"
Marsa;Appartement;200;3;"3 000 TND
					"
Marsa;Appartement;140;3;"4 000 TND
					"
Marsa;Appartement;130;3;"800 TND
					"
Marsa;Appartement;100;2;"2 500 TND
					"
Hammamet;Appartement;112;2;"
	    					Prix à consulter
	    				
					"
Marsa;Appartement;150;3;"4 500 TND
					"
Marsa;Appartement;80;1;"1 900 TND
					"
